Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ต้องการใช้ฟังก์ชันใดในการสร้าง decorator ในภาษา Python?,"('@classmethod', 0.25)","('@staticmethod', 0.25)","('@property', 0.25)","('@decorator', 1)",Decorators,Easy
Context Manager คืออะไร?,"('คลาสที่ใช้สำหรับการจัดการทรัพยากร', 0.5)","('ฟังก์ชันที่ใช้สำหรับการจัดการทรัพยากร', 0.25)","('วิธีการเขียนโค้ดที่ดี', 0)","('ไม่มีความหมาย', 0)",ContextManagers,Medium
การสร้าง Context Manager สามารถทำได้โดยการใช้คำสั่งใด?,"('with statement', 1)","('try-finally block', 0.25)","('class with __enter__ and __exit__ methods', 0.5)","('generator function', 0)",ContextManagers,Medium
ฟังก์ชันใดที่ใช้ในการสร้าง Decorator?,"('functools.wraps()', 0.25)","(' functools.update_wrapper()', 0)","(' functools.register()', 0)","('None of the above', 1)",Decorators,Easy
การใช้งาน Context Manager มีข้อดีอย่างไร?,"('สามารถจัดการทรัพยากรได้อย่างมีประสิทธิภาพ', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",ContextManagers,Medium
Decorator ที่ถูกสร้างขึ้นจากฟังก์ชันใด?,"('function', 0.5)","('class', 0.25)","('generator', 0)","('None of the above', 1)",Decorators,Medium
Context Manager ทำงานอย่างไร?,"('จัดการทรัพยากรเมื่อมีการเรียกใช้งาน', 0.25)","('จัดการทรัพยากรเมื่อมีการปิดโปรแกรม', 0.25)","('จัดการทรัพยากรเมื่อมีการเปิดและปิด', 0.5)","('ไม่มีการจัดการทรัพยากร', 0)",ContextManagers,Hard
การใช้งาน Decorator มีข้อดีอย่างไร?,"('สามารถเพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('สามารถลดความซับซ้อนของโค้ด', 0.25)","('สามารถเพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Medium
Context Manager ใช้ในการจัดการทรัพยากรประเภทใด?,"('ไฟล์', 0.25)","('ฐานข้อมูล', 0.25)","('Network connections', 0.25)","('ทุกข้อ', 1)",ContextManagers,Easy
Decorator ใช้ในการทำอะไร?,"('เพิ่มฟังก์ชันให้กับฟังก์ชันอื่น', 0.5)","('ลดความซับซ้อนของโค้ด', 0.25)","('เพิ่มความเร็วในการทำงาน', 0)","('ทั้งหมดข้างต้น', 1)",Decorators,Easy
การสร้าง list ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 1)","('{}', 0.5)","('.', 0)",List,Easy
วิธีการเข้าถึง element ที่อยู่ใน list ของภาษา Python คือ?,"('โดยใช้ index', 1)","('โดยใช้ key', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",List,Easy
การเพิ่ม element เข้าไปใน list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('append', 1)","('insert', 0.75)","('extend', 0.5)","('remove', 0)",List,Medium
การลบ element ออกจาก list ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('remove', 1)","('pop', 0.75)","('del', 0.5)","('clear', 0)",List,Medium
การสร้าง dictionary ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 0.5)","('{}', 1)","('.', 0)",Dictionary,Easy
วิธีการเข้าถึง value ที่อยู่ใน dictionary ของภาษา Python คือ?,"('โดยใช้ key', 1)","('โดยใช้ index', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",Dictionary,Easy
การเพิ่ม key-value pair เข้าไปใน dictionary ของภาษา Python สามารถทำได้โดยใช้วิธีใด?,"('โดยใช้ assignment', 1)","('โดยใช้ update', 0.75)","('โดยใช้ setdefault', 0.5)","('ไม่สามารถเพิ่มได้', 0)",Dictionary,Medium
การลบ key-value pair ออกจาก dictionary ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('del', 1)","('pop', 0.75)","('clear', 0.5)","('remove', 0)",Dictionary,Medium
การสร้าง set ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0.25)","('[]', 0.5)","('{} without key', 1)","('.', 0)",Set,Easy
การรวม set ในภาษา Python สามารถทำได้โดยใช้ operator อะไร?,"('union', 1)","('intersection', 0.75)","('difference', 0.5)","('symmetric_difference', 0)",Set,Medium
การทำงานของอิเทอเรเตอร์ (iterator) ในภาษา Python คืออะไร?,"('วนซ้ำๆผ่านทุก element ใน sequence', 1)","('วนซ้ำๆผ่านบาง element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถวนผ่าน element ใน sequence ได้', 0)",IteratorsandGenerators,Easy
ฟังก์ชันใดในภาษา Python ที่สามารถสร้าง generator ได้?,"('def', 0.75)","('generator()', 0)","('iter()', 0.25)","('yield()', 1)",IteratorsandGenerators,Medium
คำสั่งใดในภาษา Python ที่ใช้สำหรับการสร้าง generator?,"('yield', 1)","('return', 0.25)","('next()', 0.5)","('iter()', 0)",IteratorsandGenerators,Easy
การทำงานของเจเนอเรเตอร์ (generator) ในภาษา Python คืออะไร?,"('สร้าง sequence ของค่าที่ต้องการ', 1)","('วนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถสร้าง sequence ของค่าที่ต้องการได้', 0)",IteratorsandGenerators,Medium
เมื่อเรียกใช้งานเจเนอเรเตอร์ (generator) ในภาษา Python จะเกิดอะไรขึ้น?,"('จะวนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('จะวนผ่าน element ใน sequence เพียงครั้งเดียว', 1)","('จะสร้าง sequence ของค่าที่ต้องการ', 0.5)","('จะไม่เกิดอะไรขึ้น', 0)",IteratorsandGenerators,Medium
ความแตกต่างระหว่าง list comprehension และ generator expression ในภาษา Python คืออะไร?,"('list comprehension สร้าง list ขึ้นมาทันที ส่วน generator expression สร้าง generator', 1)","('list comprehension สร้าง generator ขึ้นมาทันที ส่วน generator expression สร้าง list', 0)","('ทั้งสองอย่างสร้าง list ขึ้นมาทันที', 0.25)","('ทั้งสองอย่างสร้าง generator ขึ้นมาทันที', 0.5)",IteratorsandGenerators,Hard
การทำงานของฟังก์ชัน next() ในภาษา Python คืออะไร?,"('เรียกใช้งานเจเนอเรเตอร์ (generator) ให้ผลิตค่าถัดไป', 1)","('เรียกใช้งาน list ให้ผลิตค่าถัดไป', 0.25)","('เรียกใช้งาน tuple ให้ผลิตค่าถัดไป', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
การทำงานของฟังก์ชัน iter() ในภาษา Python คืออะไร?,"('สร้าง iterator จาก object ที่กำหนด', 1)","('สร้าง generator จาก object ที่กำหนด', 0.25)","('สร้าง list จาก object ที่กำหนด', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
ความหมายของ StopIteration exception ในภาษา Python คืออะไร?,"('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator นั้นเสร็จสิ้นแล้ว', 1)","('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator ยังไม่เสร็จสิ้น', 0.25)","('แสดงว่าการวนซ้ำผ่าน list หรือ tuple นั้นเสร็จสิ้นแล้ว', 0.5)","('ไม่มีความหมายใดๆ', 0)",IteratorsandGenerators,Medium
ประโยชน์ของการใช้ generator แทน list comprehension ในภาษา Python คืออะไร?,"('ช่วยลดการใช้ memory เนื่องจากไม่ต้องสร้าง list ทั้งหมด', 1)","('ช่วยเพิ่มการใช้ memory เนื่องจากต้องสร้าง list ทั้งหมด', 0)","('ช่วยลดเวลาในการประมวลผล', 0.5)","('ไม่มีประโยชน์ใดๆ', 0.25)",IteratorsandGenerators,Hard
คลาสใดในภาษา Python ที่ใช้สำหรับการสร้าง object?,"('Class', 1)","('Object', 0)","('Function', 0)","('Module', 0)",Object-Oriented Programming (OOP),Easy
การสร้าง object จาก class ใน Python ใช้คำสั่งอะไร?,"('new', 0)","('create', 0)","('instance', 1)","('objectify', 0)",Object-Oriented Programming (OOP),Easy
คุณสมบัติของการโปรแกรมแบบ Object-Oriented คืออะไร?,"('Encapsulation', 0.5)","('Inheritance', 0.5)","('Polymorphism', 0.5)","('All of the above', 1)",Object-Oriented Programming (OOP),Medium
วิธีการที่ใช้เพื่อป้องกันการเข้าถึงข้อมูลโดยตรงจากภายนอก object คืออะไร?,"('Encapsulation', 1)","('Inheritance', 0)","('Polymorphism', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
การสร้าง class ใหม่ที่มีคุณสมบัติและพฤติกรรมเหมือนกับ class เดิม แต่สามารถเพิ่มเติมหรือแก้ไขได้ คืออะไร?,"('Inheritance', 1)","('Encapsulation', 0)","('Polymorphism', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
การกำหนดให้ method หรือ function สามารถทำงานได้กับหลายประเภทของข้อมูล คืออะไร?,"('Polymorphism', 1)","('Inheritance', 0)","('Encapsulation', 0)","('Abstraction', 0)",Object-Oriented Programming (OOP),Medium
การแสดงผลลัพธ์ของ object เป็นในรูปแบบที่สามารถอ่านได้ง่าย คืออะไร?,"('__str__()', 1)","('__repr__()', 0.5)","('print()', 0)","('display()', 0)",Object-Oriented Programming (OOP),Easy
การสร้าง method ที่สามารถเรียกใช้งานได้เฉพาะภายใน class เท่านั้น คืออะไร?,"('Private method', 1)","('Protected method', 0.5)","('Public method', 0)","('Static method', 0)",Object-Oriented Programming (OOP),Hard
การสร้าง attribute ที่สามารถเข้าถึงได้เฉพาะภายใน class เท่านั้น คืออะไร?,"('Private attribute', 1)","('Protected attribute', 0.5)","('Public attribute', 0)","('Static attribute', 0)",Object-Oriented Programming (OOP),Hard
การสร้าง class ที่ไม่สามารถสร้าง object ได้ คืออะไร?,"('Abstract class', 1)","('Concrete class', 0)","('Static class', 0)","('Singleton class', 0)",Object-Oriented Programming (OOP),Hard
การ import โมดูลในภาษา Python สามารถทำได้โดยใช้คำสั่งใด?,"('import', 1)","('require', 0)","('include', 0)","('load', 0)",ModulesandImports,Easy
เมื่อเรียกใช้โมดูล math ใน Python จะต้องใช้คำสั่งใด?,"('from math import *', 0.5)","('import math', 1)","('load math', 0)","('require math', 0)",ModulesandImports,Easy
การใช้คำสั่ง import random ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการจัดการข้อมูล', 0)","('โมดูลสำหรับการสร้างตัวเลขสุ่ม', 1)","('โมดูลสำหรับการทำงานกับเวลา', 0)","('โมดูลสำหรับการทำงานกับไฟล์', 0)",ModulesandImports,Medium
การ import โมดูลเฉพาะฟังก์ชันใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from module import function', 1)","('import module.function', 0)","('load module.function', 0)","('require module.function', 0)",ModulesandImports,Medium
โมดูล sys ใน Python มีประโยชน์ในการทำงานกับสิ่งใด?,"('การจัดการข้อมูล', 0)","('การทำงานกับระบบปฏิบัติการ', 1)","('การทำงานกับเวลา', 0)","('การทำงานกับไฟล์', 0)",ModulesandImports,Medium
การใช้คำสั่ง from math import sin จะนำเข้าฟังก์ชันใดจากโมดูล math?,"('sin', 1)","('cos', 0)","('tan', 0)","('log', 0)",ModulesandImports,Easy
การ import โมดูลทั้งหมดจาก package ใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from package import *', 1)","('import package.*', 0)","('load package.*', 0)","('require package.*', 0)",ModulesandImports,Hard
การใช้คำสั่ง import datetime ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการจัดการข้อมูล', 0)","('โมดูลสำหรับการทำงานกับเวลา', 1)","('โมดูลสำหรับการทำงานกับไฟล์', 0)","('โมดูลสำหรับการทำงานกับระบบปฏิบัติการ', 0)",ModulesandImports,Medium
การ import ฟังก์ชันเฉพาะจากโมดูล os ใน Python สามารถทำได้โดยใช้คำสั่งใด?,"('from os import path', 1)","('import os.path', 0)","('load os.path', 0)","('require os.path', 0)",ModulesandImports,Medium
การใช้คำสั่ง import re ใน Python จะนำเข้าโมดูลใด?,"('โมดูลสำหรับการทำงานกับข้อความ', 1)","('โมดูลสำหรับการทำงานกับไฟล์', 0)","('โมดูลสำหรับการทำงานกับเวลา', 0)","('โมดูลสำหรับการทำงานกับระบบปฏิบัติการ', 0)",ModulesandImports,Medium
ในภาษา Python การจัดการกับข้อผิดพลาด (ErrorHandling) สามารถทำได้โดยใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('for...loop', 0)","('while...loop', 0)",ErrorHandling,Easy
เมื่อใช้คำสั่ง try...except ใน Python แล้วพบข้อผิดพลาด จะเกิดอะไรขึ้น?,"('โปรแกรมจะหยุดทำงานทันที', 0)","('โปรแกรมจะกระโดดไปที่ส่วนของ except และทำงานต่อ', 1)","('โปรแกรมจะแสดงข้อความแจ้งเตือน', 0.5)","('ไม่มีอะไรเกิดขึ้น', 0)",ErrorHandling,Medium
การใช้คำสั่ง try...finally ใน Python มีความสำคัญอย่างไร?,"('เพื่อจัดการกับข้อมูลที่เป็น sensitive data', 0.5)","('เพื่อป้องกันการรั่วไหลของข้อมูล', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
ใน Python คำสั่ง raise ถูกใช้เพื่ออะไร?,"('เพื่อสร้างข้อผิดพลาดใหม่', 1)","('เพื่อจัดการกับข้อผิดพลาดที่เกิดขึ้น', 0.5)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)",ErrorHandling,Medium
ใน Python คำสั่ง assert ถูกใช้เพื่ออะไร?,"('เพื่อตรวจสอบเงื่อนไขที่ต้องการ', 1)","('เพื่อสร้างข้อผิดพลาดใหม่', 0.5)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)",ErrorHandling,Medium
ใน Python การใช้คำสั่ง try...except...finally มีความสำคัญอย่างไร?,"('เพื่อจัดการกับข้อมูลที่เป็น sensitive data', 0.5)","('เพื่อป้องกันการรั่วไหลของข้อมูล', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งานและจัดการกับข้อผิดพลาด', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
ใน Python คำสั่ง except ถูกใช้เพื่อรับมือกับข้อผิดพลาดแบบใด?,"('เฉพาะข้อผิดพลาดที่ระบุ', 1)","('ทุกข้อผิดพลาดที่เกิดขึ้น', 0.5)","('ไม่สามารถรับมือกับข้อผิดพลาด', 0)","('เพื่อแสดงข้อความแจ้งเตือน', 0)",ErrorHandling,Easy
ใน Python การใช้คำสั่ง with statement มีความสำคัญอย่างไร?,"('เพื่อจัดการกับไฟล์และทรัพยากรอื่นๆ', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0.5)",ErrorHandling,Medium
ใน Python คำสั่ง traceback module ถูกใช้เพื่ออะไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อแสดงข้อมูลเกี่ยวกับข้อผิดพลาดที่เกิดขึ้น', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
ใน Python การใช้คำสั่ง logging module มีความสำคัญอย่างไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อบันทึกเหตุการณ์ที่เกิดขึ้นในโปรแกรม', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Medium
"เมื่อเราพิมพ์คำสั่ง print('Hello, World!') ในภาษา Python ผลลัพธ์ที่ได้จะเป็นอย่างไร?","('Hello, World!', 1)","(""'Hello, World!'"", 0.75)","(""print('Hello, World!')"", 0.25)","('Error', 0)",InputandOutput,Easy
ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.5)","(""println('Hello, World!')"", 0.25)","(""display('Hello, World!')"", 0)",InputandOutput,Medium
การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('print() และ input()', 1)","('display() และ println()', 0.5)","('echo() และ read()', 0.25)","('write() และ show()', 0)",InputandOutput,Easy
ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python ควรใช้คำสั่งใด?,"('input()', 1)","('read()', 0.5)","('get()', 0.25)","('receive()', 0)",InputandOutput,Easy
การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยฟังก์ชันใดบ้าง?,"('print() และ input()', 1)","('display() และ writeln()', 0.5)","('echo() และ readln()', 0.25)","('write() และ show()', 0)",InputandOutput,Medium
ถ้าเราต้องการแสดงผลลัพธ์แบบมีการจัดรูปแบบในภาษา Python ควรใช้คำสั่งใด?,"('print(format())', 1)","('display(format())', 0.75)","('println(format())', 0.5)","('write(format())', 0.25)",InputandOutput,Hard
การรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('input() และ eval()', 1)","('read() และ parse()', 0.5)","('get() และ decode()', 0.25)","('receive() และ interpret()', 0)",InputandOutput,Easy
ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีการขึ้นบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.75)","(""println('Hello, World!')"", 0.5)","(""display('Hello, World!')"", 0.25)",InputandOutput,Medium
การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('print() และ input()', 1)","('display() และ writeln()', 0.5)","('echo() และ readln()', 0.25)","('write() และ show()', 0)",InputandOutput,Easy
ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาและแปลงเป็นตัวเลขในภาษา Python ควรใช้คำสั่งใด?,"('int(input())', 1)","('float(input())', 0.75)","('eval(input())', 0.5)","('parse(input())', 0.25)",InputandOutput,Medium
เซตในภาษา Python คืออะไร?,"('คอลเล็กชันของไอเท็มที่ไม่ซ้ำกัน', 1)","('คอลเล็กชันของไอเท็มที่ซ้ำกัน', 0)","('คอลเล็กชันของไอเท็มที่มีลำดับ', 0)","('คอลเล็กชันของไอเท็มที่ไม่มีลำดับ', 0.5)",Sets,['Easy']
การสร้างเซตใน Python ทำอย่างไร?,"('ใช้ฟังก์ชัน set()', 1)","('ใช้ฟังก์ชัน list()', 0)","('ใช้ฟังก์ชัน dict()', 0)","('ใช้ฟังก์ชัน tuple()', 0)",Sets,['Easy']
วิธีการเพิ่มข้อมูลในเซตใน Python คือ?,"('ใช้เมธอด add()', 1)","('ใช้เมธอด append()', 0)","('ใช้เมธอด insert()', 0)","('ใช้เมธอด update()', 0.5)",Sets,['Medium']
วิธีการลบข้อมูลจากเซตใน Python คือ?,"('ใช้เมธอด remove()', 1)","('ใช้เมธอด delete()', 0)","('ใช้เมธอด discard()', 0.5)","('ใช้เมธอด pop()', 0)",Sets,['Medium']
เซตใน Python สามารถทำการรวมข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Easy']
เซตใน Python สามารถทำการคัดลอกข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Easy']
เซตใน Python สามารถทำการเปรียบเทียบข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Medium']
เซตใน Python สามารถทำการค้นหาข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Medium']
เซตใน Python สามารถทำการแปลงข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Hard']
เซตใน Python สามารถทำการตรวจสอบความซ้ำของข้อมูลได้หรือไม่?,"('สามารถทำได้', 1)","('ไม่สามารถทำได้', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ขึ้นอยู่กับการใช้งาน', 0.25)",Sets,['Hard']
