Index,Question,Level,Choice
96,โค้ด Python ด้านล่างจะพิมพ์อะไรออกมา? print([x for x in range(5) if x % 2 == 0]),Intermediate,"[{'text': '[1, 3, 5]', 'weight': 0}, {'text': '[0, 2, 4]', 'weight': 1}, {'text': '[0, 1, 2, 3, 4]', 'weight': 0}, {'text': 'Error', 'weight': 0}]"
97,คำสั่งไหนที่ใช้สำหรับการคัดลอกข้อมูลจากลิสต์หนึ่งไปยังลิสต์อื่น?,Intermediate,"[{'text': 'append', 'weight': 0}, {'text': 'extend', 'weight': 0.5}, {'text': 'copy', 'weight': 1}, {'text': 'slice', 'weight': 0.25}]"
98,ฟังก์ชันไหนที่ใช้สำหรับการแปลงข้อมูลจาก string เป็น integer?,Intermediate,"[{'text': 'str()', 'weight': 0}, {'text': 'int()', 'weight': 1}, {'text': 'float()', 'weight': 0.25}, {'text': 'list()', 'weight': 0}]"
99,เมธอดไหนที่ใช้สำหรับการเรียงลำดับข้อมูลในลิสต์?,Intermediate,"[{'text': 'reverse()', 'weight': 0.5}, {'text': 'sort()', 'weight': 1}, {'text': 'sorted()', 'weight': 0.25}, {'text': 'shuffle()', 'weight': 0}]"
100,คำสั่งไหนที่ใช้สำหรับการตรวจสอบว่ามี element ไหนบ้างในลิสต์?,Intermediate,"[{'text': 'in', 'weight': 1}, {'text': 'not in', 'weight': 0.75}, {'text': 'contains', 'weight': 0}, {'text': 'exists', 'weight': 0}]"
101,การทำงานของฟังก์ชัน range() ใน Python คืออะไร?,Intermediate,"[{'text': 'สร้างลิสต์ของตัวเลขแบบ random', 'weight': 0}, {'text': 'สร้างลิสต์ของตัวอักษรแบบ random', 'weight': 0}, {'text': 'สร้างลิสต์ของตัวเลขที่มีค่าเริ่มต้น, สิ้นสุด, และ step ที่กำหนด', 'weight': 1}, {'text': 'สร้างลิสต์ของตัวอักษรที่มีค่าเริ่มต้นและสิ้นสุด', 'weight': 0}]"
102,การเขียนโค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา?,Intermediate,"[{'text': '10', 'weight': 0}, {'text': '20', 'weight': 1}, {'text': '30', 'weight': 0.5}, {'text': 'Error', 'weight': 0}]"
103,คุณสามารถตรวจสอบว่ารายการใดๆ เป็นรายการว่างได้โดยการใช้คำสั่ง Python อะไร?,Intermediate,"[{'text': 'len(list) == 0', 'weight': 1}, {'text': 'list.empty()', 'weight': 0}, {'text': 'not list', 'weight': 0.75}, {'text': 'list.isempty()', 'weight': 0}]"
104,การแปลงประเภทข้อมูลจาก string ไปเป็น integer สามารถทำได้โดยการใช้ฟังก์ชัน Python อะไร?,Intermediate,"[{'text': 'int()', 'weight': 1}, {'text': 'str()', 'weight': 0}, {'text': 'float()', 'weight': 0}, {'text': 'bool()', 'weight': 0}]"
105,"ใน Python, คุณสามารถใช้วิธีอะไรในการเรียก function หลายครั้ง?",Intermediate,"[{'text': 'Iteration', 'weight': 1}, {'text': 'Recursion', 'weight': 0.75}, {'text': 'Exceptions', 'weight': 0}, {'text': 'Encapsulation', 'weight': 0}]"
106,การแปลงข้อมูลจาก 'tuple' เป็น 'list' สามารถทำได้โดยใช้ฟังก์ชันใด?,Intermediate,"[{'text': 'str()', 'weight': 0}, {'text': 'list()', 'weight': 1}, {'text': 'tuple()', 'weight': 0}, {'text': 'int()', 'weight': 0}]"
107,"โค้ด Python ต่อไปนี้จะพิมพ์อะไรออกมา?
my_string = 'Hello, World!'
print(my_string[7:])",Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': 'World!', 'weight': 1}, {'text': 'Hello,', 'weight': 0}, {'text': 'Error', 'weight': 0}]"
108,"ในการทำงานกับ 'dictionary', การเรียกดูค่าที่เก็บอยู่ใน key ที่กำหนดสามารถทำได้โดยใช้คำสั่งใด?",Intermediate,"[{'text': ""my_dict.get('key')"", 'weight': 1}, {'text': ""my_dict['key']"", 'weight': 0.5}, {'text': ""my_dict.key('key')"", 'weight': 0}, {'text': ""my_dict.search('key')"", 'weight': 0}]"
109,"โค้ด Python ต่อไปนี้จะพิมพ์อะไรออกมา?
for i in range(5):
    print(i * i)",Intermediate,"[{'text': '0 1 2 3 4', 'weight': 0}, {'text': '0 1 4 9 16', 'weight': 1}, {'text': '0 2 4 6 8', 'weight': 0}, {'text': '1 2 3 4 5', 'weight': 0}]"
110,การสร้าง 'lambda function' ใน Python สามารถทำได้โดยใช้คำสั่งใด?,Intermediate,"[{'text': 'def', 'weight': 0}, {'text': 'lambda', 'weight': 1}, {'text': 'function', 'weight': 0}, {'text': 'proc', 'weight': 0}]"
111,คุณสามารถแก้ไขค่าของตัวแปร list ใน Python ได้หรือไม่?,Intermediate,"[{'text': 'ไม่สามารถ', 'weight': 0}, {'text': 'สามารถแก้ไขเฉพาะ element แรก', 'weight': 0.25}, {'text': 'สามารถแก้ไขได้เฉพาะบาง element', 'weight': 0.5}, {'text': 'สามารถแก้ไขได้ทุก element', 'weight': 1}]"
112,การใช้ฟังก์ชัน map() ใน Python นั้นมีวัตถุประสงค์เพื่อ?,Intermediate,"[{'text': 'แปลงประเภทข้อมูล', 'weight': 0.25}, {'text': 'สร้าง list ใหม่จากการทำงานร่วมกับฟังก์ชัน', 'weight': 1}, {'text': 'เรียงลำดับข้อมูลใน list', 'weight': 0}, {'text': 'หาระยะเวลาที่ใช้ในฟังก์ชัน', 'weight': 0}]"
113,การเขียนโค้ด Python ด้วยแนวคิด Functional Programming สามารถทำได้โดยใช้ฟังก์ชันใด?,Intermediate,"[{'text': 'filter()', 'weight': 0.75}, {'text': 'reduce()', 'weight': 0.25}, {'text': 'map()', 'weight': 0.75}, {'text': 'sorted()', 'weight': 0}]"
114,ความแตกต่างระหว่าง 'is' และ '==' คือ?,Intermediate,"[{'text': ""'is' ตรวจสอบค่า '==' ตรวจสอบออบเจ็กต์"", 'weight': 0}, {'text': ""'is' ตรวจสอบออบเจ็กต์ '==' ตรวจสอบค่า"", 'weight': 1}, {'text': 'ทั้งสองใช้ตรวจสอบค่าเท่ากัน', 'weight': 0}, {'text': 'ไม่มีความแตกต่าง', 'weight': 0}]"
115,การเลือกใช้วิธีการท่อง list ใน Python ควรพิจารณาจาก?,Intermediate,"[{'text': 'ขนาดของ list', 'weight': 0.5}, {'text': 'ความซับซ้อนของฟังก์ชันที่จะทำงานกับ list', 'weight': 1}, {'text': 'ประเภทข้อมูลใน list', 'weight': 0.25}, {'text': 'ตำแหน่งของ element ใน list', 'weight': 0}]"
116,ฟังก์ชัน lambda ใน Python ใช้เพื่ออะไร?,Intermediate,"[{'text': 'สร้าง class ใหม่', 'weight': 0}, {'text': 'กำหนดค่าตัวแปร', 'weight': 0.25}, {'text': 'เขียนฟังก์ชันที่ง่ายและรวดเร็ว', 'weight': 1}, {'text': 'ทำการลูปผ่าน list', 'weight': 0.5}]"
117,เมื่อเรียกใช้ฟังก์ชัน sort() ของ list คุณจะได้ผลลัพธ์เป็นอย่างไร?,Intermediate,"[{'text': 'List ถูกทำลาย', 'weight': 0}, {'text': 'List ไม่ถูกแก้ไข', 'weight': 0.25}, {'text': 'List ถูกเรียงลำดับจากน้อยไปมาก', 'weight': 1}, {'text': 'List ถูกแปลงเป็น tuple', 'weight': 0.5}]"
118,วัตถุ purpose ของ exception handling ใน Python คืออะไร?,Intermediate,"[{'text': 'เพื่อสร้าง error ใหม่', 'weight': 0}, {'text': 'เพื่อป้องกันโปรแกรมจาก crash', 'weight': 1}, {'text': 'เพื่อ optimize performance', 'weight': 0.25}, {'text': 'เพื่อเพิ่มความซับซ้อนของโค้ด', 'weight': 0.5}]"
119,การเขียนฟังก์ชันในภาษา Python สามารถทำได้โดยการใช้คีย์เวิร์ดใด?,Intermediate,"[{'text': 'function', 'weight': 0}, {'text': 'def', 'weight': 1}, {'text': 'proc', 'weight': 0}, {'text': 'sub', 'weight': 0}]"
120,"ในภาษา Python, วิธีการเพิ่มสมาชิกใหม่ในเซ็ตคือ?",Intermediate,"[{'text': '.append()', 'weight': 0}, {'text': '.add()', 'weight': 1}, {'text': '.insert()', 'weight': 0}, {'text': '.extend()', 'weight': 0}]"
121,"เมื่อทำงานกับไฟล์ในภาษา Python, โหมดใดที่ใช้สำหรับการเขียนไฟล์?",Intermediate,"[{'text': 'r', 'weight': 0}, {'text': 'w', 'weight': 1}, {'text': 'a', 'weight': 0.5}, {'text': 'x', 'weight': 0}]"
122,"ในการทำงานกับ Dictionary ในภาษา Python, วิธีการเข้าถึงค่าใดๆผ่านชื่อคีย์คือ?",Intermediate,"[{'text': 'dict.get(key)', 'weight': 0.75}, {'text': 'dict[key]', 'weight': 1}, {'text': 'dict.fetch(key)', 'weight': 0}, {'text': 'dict.lookup(key)', 'weight': 0}]"
123,"ในการทำงานกับ List ในภาษา Python, วิธีการกลับตารางเป็นแนวนอนคือ?",Intermediate,"[{'text': 'list.reverse()', 'weight': 1}, {'text': 'list.invert()', 'weight': 0}, {'text': 'list.flip()', 'weight': 0}, {'text': 'list.turn()', 'weight': 0}]"
124,ฟังก์ชันใดใน Python ที่สามารถนำค่า list มาแปลงเป็น set?,Intermediate,"[{'text': 'list()'}, {'text': 'tuple()'}, {'text': 'set()'}, {'text': 'dict()'}]"
125,วิธีการใดที่สามารถเรียกใช้งาน module'math' ใน Python?,Intermediate,"[{'text': 'import math'}, {'text': 'include math'}, {'text': 'require math'}, {'text': 'load math'}]"
126,การทำงานของคำสั่ง 'break' ใน loop จะทำอะไร?,Intermediate,"[{'text': 'หยุดการทำงานของ loop ปัจจุบันและไปทำงานคำสั่งต่อไป'}, {'text': 'ออกจาก loop ทั้งหมด'}, {'text': 'กลับไปทำงานที่จุดเริ่มต้นของ loop'}, {'text': 'ไม่มีผลต่อการทำงานของ loop'}]"
127,หากต้องการสร้าง object ของ class Person ที่มีชื่อ 'John' และอายุ 30 ควรใช้วิธีการใด?,Intermediate,"[{'text': ""person = Person('John', 30)""}, {'text': ""person = Person.init('John', 30)""}, {'text': ""person = Person.create('John', 30)""}, {'text': ""person = new Person('John', 30)""}]"
128,การทำงานของฟังก์ชัน 'join()' ใน Python คืออะไร?,Intermediate,"[{'text': 'แยก string ออกเป็นหลายส่วน'}, {'text': 'รวม list ของ string เข้าเป็น string เดียว'}, {'text': 'แปลง string เป็นตัวพิมพ์ใหญ่'}, {'text': 'หา length ของ string'}]"
129,การเขียนโค้ดฟังก์ชันเพื่อหาจำนวนผู้คนที่มีอายุมากกว่า 30 ปีในลิสต์ของ dictionary ควรใช้วิธีการใด:,Intermediate,"[{'text': 'ใช้ฟังก์ชัน filter', 'weight': 0}, {'text': 'ใช้ loop และเงื่อนไข if', 'weight': 0.75}, {'text': 'ใช้ list comprehension', 'weight': 1}, {'text': 'ใช้ recursive function', 'weight': 0}]"
130,ในการทำงานกับไฟล์ JSON ใน Python ควรใช้โมดูลใด:,Intermediate,"[{'text': 'json', 'weight': 1}, {'text': 'pickle', 'weight': 0}, {'text': 'csv', 'weight': 0}, {'text': 'requests', 'weight': 0}]"
131,การแก้ไขฟังก์ชันที่มีปัญหาเรื่อง edge case สามารถทำได้โดยการใช้:,Intermediate,"[{'text': 'Error handling ด้วย try-except', 'weight': 0}, {'text': 'Unit testing', 'weight': 1}, {'text': 'Type checking', 'weight': 0.25}, {'text': 'Decorators', 'weight': 0}]"
132,เมื่อใช้คำสั่ง for และ range หลายครั้งใน loop การเข้าใจ scope ของตัวแปรจึงมีความสำคัญ อะไรคือสิ่งที่ผิดพลาดเกี่ยวกับตัวแปรใน Python:,Intermediate,"[{'text': 'ตัวแปรไม่สามารถใช้ใน loop หลายครั้งได้', 'weight': 0}, {'text': 'ตัวแปรที่สร้างใน loop สามารถอยู่ในรูปของ global variable', 'weight': 0}, {'text': 'ตัวแปรที่เป็นส่วนหนึ่งของซ้อนน้อยสุด (innermost scope) มีความหมายของมันเอง', 'weight': 0.25}, {'text': 'ตัวแปรลืมค่าหลังจากการทำงานของ loop เสร็จสิ้น', 'weight': 1}]"
133,โครงสร้างข้อมูล default dictionary ที่ถูกกล่าวถึงในวิชา Computation และ Data Structure ควรเลือกผ่านโมดูลใด:,Intermediate,"[{'text': 'include', 'weight': 0}, {'text': 'collections', 'weight': 1}, {'text': '_oldpolytracevectorpath(i)', 'weight': 0}, {'text': 'None of the above', 'weight': 0}]"
134,โค้ด Python ด้านล่างนี้จะพิมพ์ค่าเป็นใด,Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': '30', 'weight': 0.25}, {'text': '50', 'weight': 0.5}, {'text': '80', 'weight': 1}]"
135,ฟังก์ชันไหนที่ใช้สำหรับการเข้าถึงสมาชิกในดิกชันนารี?,Intermediate,"[{'text': 'keys()', 'weight': 0}, {'text': 'values()', 'weight': 0}, {'text': 'items()', 'weight': 0.5}, {'text': 'get()', 'weight': 1}]"
136,เมธอดไหนที่ใช้เพื่อรับการเปลี่ยนแปลงที่สุดท้ายของค่าในลิสต์?,Intermediate,"[{'text': 'append()', 'weight': 0}, {'text': 'insert()', 'weight': 0}, {'text': 'pop()', 'weight': 1}, {'text': 'remove()', 'weight': 0.25}]"
137,ฟังก์ชันไหนที่ใช้สำหรับการเรียงลำดับลิสต์?,Intermediate,"[{'text': 'sorted()', 'weight': 1}, {'text': 'reversed()', 'weight': 0}, {'text': '####################################(git)', 'weight': 0}, {'text': 'rand()', 'weight': 0.25}]"
138,โค้ด Python ด้านล่างนี้จะทำให้เกิดเหตุการณ์ใดขึ้น?,Intermediate,"[{'text': 'Error เนื่องจาก a ไม่ได้ถูกกำหนด', 'weight': 0}, {'text': 'คำเตือน (Warning) จะปรากฏขึ้น', 'weight': 0.25}, {'text': 'ไม่มีอะไรเกิดขึ้น เนื่องจาก a เป็น None', 'weight': 0.5}, {'text': 'ความคิดจะตกลงใน Exception handler', 'weight': 1}]"
139,วิธีการใดใน Python ที่สามารถใช้แยก character ของ string?,Intermediate,"[{'text': 'list() function', 'weight': 0}, {'text': 'tuple() function', 'weight': 0.25}, {'text': 'len() function', 'weight': 0.5}, {'text': 'การใช้ indexation อย่างตรงไปตรงมา', 'weight': 1}]"
140,หากต้องการ loop ผ่าน list ใน Python คุณควรใช้:,Intermediate,"[{'text': 'while loop', 'weight': 0}, {'text': 'for... else loop', 'weight': 0.5}, {'text': 'for... in loop', 'weight': 1}, {'text': 'do-while loop', 'weight': 0}]"
141,ในการเขียนฟังก์ชัน Python คุณสามารถกำหนดค่าเริ่มต้นสำหรับ parameter ด้วยวิธีใด?,Intermediate,"[{'text': 'usage of ampersand (&)', 'weight': 0}, {'text': 'usage of equal sign (=)', 'weight': 1}, {'text': 'enclosing in square brackets []', 'weight': 0}, {'text': ""usage of tripple quotes '''"", 'weight': 0}]"
142,ใน Python เซ็ต (set) มีลักษณะสำคัญใด?,Intermediate,"[{'text': 'repeatable elements', 'weight': 0}, {'text': 'ordered collection of unique items', 'weight': 1}, {'text': 'fixed number of elements', 'weight': 0}, {'text': 'nullable items', 'weight': 0}]"
143,เมื่อต้องการเพิ่มฟังก์ชันบางอย่างให้กับคลาสเก่า เราจะใช้ความสามารถใดของ Python?,Intermediate,"[{'text': 'Encapsulation', 'weight': 0}, {'text': 'Inheritance', 'weight': 0.5}, {'text': 'Polymorphism', 'weight': 0.25}, {'text': 'Monkey Patching', 'weight': 1}]"
144,ถ้าเรามี list ของ items และต้องการ filter รายการที่มีคุณสมบัติเฉพาะ เราจะใช้ฟังก์ชันใด?,Intermediate,"[{'text': 'map()', 'weight': 0.25}, {'text': 'filter()', 'weight': 1}, {'text': 'reduce()', 'weight': 0}, {'text': 'sorted()', 'weight': 0.5}]"
145,"สำหรับการจัดการ exceptions ใน Python, เราสามารถใช้คีย์คำว่าใดกับ try-except block?",Intermediate,"[{'text': 'else', 'weight': 0.5}, {'text': 'finally', 'weight': 1}, {'text': 'continue', 'weight': 0}, {'text': 'break', 'weight': 0}]"
146,เมื่อเรียกฟังก์ชันและมีผิดพลาด (exception) เกิดขึ้น Python จะทำอะไร?,Intermediate,"[{'text': 'return ค่าที่ไม่ถูกต้อง', 'weight': 0}, {'text': 'throw exception', 'weight': 1}, {'text': 'jump to the beginning of the program', 'weight': 0}, {'text': 'do nothing and continue executing', 'weight': 0}]"
147,ฟังก์ชันใดใน Python ที่สามารถใช้ร่วมกับ itertools.product()?,Intermediate,"[{'text': 'zip()', 'weight': 0}, {'text': 'chain()', 'weight': 0}, {'text': 'combinations()', 'weight': 0.5}, {'text': 'starmap()', 'weight': 1}]"
148,ฟังก์ชันไหนบ้างที่สามารถใช้งานกับลิสต์ได้,Intermediate,"[{'text': 'sorted() และ reversed()', 'weight': 0.5}, {'text': 'len() และ split()', 'weight': 0}, {'text': 'append() และ insert()', 'weight': 1}, {'text': 'join() และ format()', 'weight': 0.25}]"
149,คำสั่ง Python ใดที่ใช้เก็บข้อมูลในชุดข้อมูลที่ไม่ซ้ำกัน,Intermediate,"[{'text': 'tuple', 'weight': 0.25}, {'text': 'list', 'weight': 0}, {'text': 'set', 'weight': 1}, {'text': 'dict', 'weight': 0}]"
150,วิธีการเขียนลูปใน Python มีอะไรบ้าง,Intermediate,"[{'text': 'for ลูปและ do-while ลูป', 'weight': 0.5}, {'text': 'for ลูปและ while ลูป', 'weight': 1}, {'text': 'for ลูปและ loop ลูป', 'weight': 0}, {'text': 'do-while ลูปและ while ลูป', 'weight': 0}]"
